0.01           0.0296274446   8.11847705     8.78287791
0.015          0.040210761    11.8343442     12.7345846
0.02           0.0485539927   15.3342065     16.4135612
0.025          0.0550305316   18.6272906     19.8341655
0.03           0.0599705489   21.7224751     23.0100373
0.035          0.0636654604   24.628302      25.9541373
0.04           0.0663718983   27.3529888     28.6787828
0.045          0.0683152584   29.9044406     31.1956819
0.05           0.0696928742   32.2902602     33.5159644
0.055          0.0706768657   34.5177597     35.650212
0.1            0.080642539    48.51603       47.9946233
0.15           0.125039694    54.6714044     51.7136124
0.2            0.205565266    54.7624264     49.6616093
0.25           0.301738433    51.4252499     44.8118845
0.3            0.393732934    46.3597807     38.8914204
0.35           0.468292503    40.6323441     32.8711771
0.4            0.519055052    34.8857079     27.2578339
0.45           0.545041182    29.4838219     22.2812937
0.5            0.548637676    24.6107577     18.0118363
0.55           0.533937087    20.3376789     14.4321909
0.6            0.505568861    16.6676227     11.4812024
0.65           0.467972992    13.5649902     9.07964751
0.7            0.425010715    10.9745793     7.14492842
0.75           0.379806273    8.83354085     5.59892795
0.8            0.334733152    7.07859819     4.37174098
0.85           0.291481231    5.65014919     3.40299211
0.9            0.251161672    4.49435336     2.64180334
0.95           0.214422303    3.56395348     2.04606386
1              0.181557682    2.8183319      1.58139196
1.05           0.15260579     2.22313149     1.22001471
1.1            0.127428281    1.74965432     0.939688769
1.15           0.105774127    1.37417209     0.722723458
1.2            0.0873281311   1.07722952     0.555130116
1.25           0.0717464928   0.842986709    0.425901075
1.3            0.0586817798   0.658624349    0.326410093
1.35           0.0477995757   0.513821076    0.249921043
